Finland,Saunalahti,358,244,21,0.0686,
France,All networks,33,208,,0.0486,
France,Bouygues Telecom,33,208,20,0.0486,
France,Bouygues Telecom,33,208,21,0.0486,
France,Bouygues Telecom,33,208,88,0.0486,
France,Free Mobile,33,208,15,0.0486,
France,Free Mobile,33,208,16,0.0486,
France,Lycamobile,33,208,25,0.0744,
France,Orange France,33,208,01,0.0486,
France,Orange France,33,208,02,0.0486,
France,Orange France,33,208,95,0.0486,
France,Orange France,33,208,91,0.0486,
France,SFR,33,208,23,0.0486,
France,SFR,33,208,09,0.0486,
France,SFR,33,208,10,0.0486,
France,SFR,33,208,11,0.0486,
France,SFR,33,208,13,0.0486,
France,SFR,33,208,27,0.0486,
France,SFR,33,208,89,0.0486,
France,SYMA France,33,208,30,0.0486,
France,Transatel Mobile,33,208,22,0.0486,
France,Transatel Mobile,33,208,12,0.0486,
France,Lebara,33,208,38,0.0486,
France,Completel France,33,208,08,0.0486,
France,Cellhire France,33,208,34,0.0486,
France,AIF France,33,208,28,0.0486,
Georgia,All networks,995,282,,0.1183,
Georgia,Beeline,995,282,04,0.1183,
Georgia,Magticom,995,282,02,0.1183,
Georgia,Magticom,995,282,03,0.1183,
Georgia,Geocell,995,282,01,0.1183,
Georgia,Silknet,995,282,05,0.1183,
Germany,All networks,49,262,,0.0872,
Germany,Lycamobile,49,262,43,0.0858,
Germany,O2 Germany,49,262,03,0.0858,
Germany,O2 Germany,49,262,05,0.0858,
Germany,O2 Germany,49,262,07,0.0858,
Germany,O2 Germany,49,262,08,0.0858,
Germany,O2 Germany,49,262,11,0.0858,
Germany,O2 Germany,49,262,20,0.0858,
Germany,Telekom Germany,49,262,01,0.0772,
Germany,Telekom Germany,49,262,06,0.0772,
Germany,Telekom Germany,49,262,78,0.0772,
Germany,Truphone GmbH,49,262,42,0.0872,
Germany,Vodafone Germany,49,262,02,0.0772,
Germany,Vodafone Germany,49,262,04,0.0772,
Germany,Vodafone Germany,49,262,09,0.0772,
Germany,Sipgate Wireless,49,262,12,0.0872,
Germany,Sipgate Wireless,49,262,22,0.0872,
Germany,MTEL,49,262,25,0.0493,
Germany,1&1,49,262,23,0.0872,
Greece,All networks,30,202,,0.0455,
Greece,Cosmote,30,202,01,0.0455,
Greece,Vodafone,30,202,14,0.0455,
Greece,Vodafone,30,202,05,0.0455,
Greece,WIND Hellas,30,202,09,0.0455,
Greece,WIND Hellas,30,202,10,0.0455,
Guatemala,Tigo,502,704,02,0.1375,New Breakout
Guatemala,Movistar Guatemala,502,704,03,0.0276,New Breakout
Guatemala,Claro Guatemala,502,704,01,0.0341,New Breakout
Guatemala,All Networks,502,704,,0.0195,New Breakout
Honduras,Hondutel,504,708,30,0.0165,New Breakout
Honduras,Hondutel,504,708,03,0.0165,New Breakout
Honduras,Claro Honduras,504,708,40,0.0257,New Breakout
