Country, Network, Prefix, Tag Name, Cost Rate (USD), Cost Connect Fee (USD), Initial Interval, Next Interval, Reject Calls
Albania, Amc Landline, 35558, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35586930563, all, 1.2, 0.000, 60, 60, false
Albania, Landline, 355, all, 0.213, 0.000, 60, 60, false
Albania, Special Services, 35535505, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35538, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35528, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 355424939, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35529, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35524, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35535, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35548, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35545750, all, 1.2, 0.000, 60, 60, false
Albania, Eagle Mobile, 35567, all, 0.501, 0.000, 60, 60, false
Albania, Amc Landline, 35584, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35551, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35583, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35534608, all, 1.2, 0.000, 60, 60, false
Albania, Special Services, 35535504, all, 1.2, 0.000, 60, 60, false
Albania, Special Services, 355450200, all, 1.2, 0.000, 60, 60, false
Albania, Special Services, 35552670, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35539, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35587, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35534606, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35555, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35531, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35532, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35585, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35559, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35582, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35534, all, 0.214, 0.000, 60, 60, false
Albania, OLO Mobile, 3554249, all, 0.688, 0.000, 60, 60, false
Albania, Special Services, 355450333, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35546, all, 0.214, 0.000, 60, 60, false
Albania, OLO Mobile, 3554251, all, 0.688, 0.000, 60, 60, false
Albania, Special Services, 355652556, all, 1.2, 0.000, 60, 60, false
Albania, Amc Landline, 35537, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35552450, all, 1.2, 0.000, 60, 60, false
Albania, Vodafone Mobile, 35569, all, 0.445, 0.000, 60, 60, false
Albania, Tirana, 3554, all, 0.214, 0.000, 60, 60, false
Albania, Amc Landline, 35588, all, 0.214, 0.000, 60, 60, false
Albania, Special Services, 35534609, all, 1.2, 0.000, 60, 60, false
